change_id	gift_id
DBC-20260817-INITIAL-CURATION	purine_core_biosynthesis
DBC-20260817-INITIAL-CURATION	adenylate_biosynthesis
DBC-20260817-INITIAL-CURATION	guanylate_biosynthesis
DBC-20260817-INITIAL-CURATION	pyrimidine_core_biosynthesis
DBC-20260817-INITIAL-CURATION	cytidylate_biosynthesis
DBC-20260817-ATCASE-PYRI	pyrimidine_core_biosynthesis
DBC-20260817-DHOD-PYRK	pyrimidine_core_biosynthesis
DBC-20260817-MARKER-AUDIT	purine_core_biosynthesis
DBC-20260817-MARKER-AUDIT	adenylate_biosynthesis
DBC-20260817-MARKER-AUDIT	guanylate_biosynthesis
DBC-20260817-MARKER-AUDIT	pyrimidine_core_biosynthesis
DBC-20260817-MARKER-AUDIT	cytidylate_biosynthesis
DBC-20260817-AMINO-ACID-BATCH	serine_biosynthesis
DBC-20260817-AMINO-ACID-BATCH	glycine_biosynthesis
DBC-20260817-AMINO-ACID-BATCH	aspartate_semialdehyde_biosynthesis
DBC-20260817-AMINO-ACID-BATCH	homoserine_biosynthesis
DBC-20260817-AMINO-ACID-BATCH	threonine_biosynthesis
DBC-20260817-AMINO-ACID-BATCH	methionine_biosynthesis_transsulfuration
DBC-20260817-AMINO-ACID-BATCH	methionine_biosynthesis_sulfhydrylation
DBC-20260817-AMINO-ACID-BATCH	cysteine_biosynthesis_sulfide
DBC-20260817-AMINO-ACID-BATCH	cysteine_biosynthesis_homocysteine
DBC-20260817-ASPARTATE-TRUNK	aspartate_semialdehyde_biosynthesis
DBC-20260817-ASPARTATE-TRUNK	homoserine_biosynthesis
DBC-20260817-ASPARTATE-TRUNK	threonine_biosynthesis
DBC-20260817-ASPARTATE-TRUNK	methionine_biosynthesis_transsulfuration
DBC-20260817-ASPARTATE-TRUNK	methionine_biosynthesis_sulfhydrylation
DBC-20260817-METHIONINE-SULFHYDRYLATION	methionine_biosynthesis_sulfhydrylation
DBC-20260817-METHIONINE-SULFHYDRYLATION	methionine_biosynthesis_transsulfuration
DBC-20260817-M00609-REDUCTION	cysteine_biosynthesis_homocysteine
DBC-20260817-HOMOCYSTEINE-INPUT-ONLY	cysteine_biosynthesis_homocysteine
DBC-20260817-HOMOCYSTEINE-INPUT-ONLY	methionine_biosynthesis_transsulfuration
DBC-20260817-HOMOCYSTEINE-INPUT-ONLY	methionine_biosynthesis_sulfhydrylation
DBC-20260818-SUGAR-DEGRADATION	xylose_degradation_isomerase
DBC-20260818-SUGAR-DEGRADATION	arabinose_degradation
DBC-20260818-SUGAR-DEGRADATION	fucose_degradation_isomerase
DBC-20260818-SUGAR-DEGRADATION	rhamnose_degradation
DBC-20260818-SUGAR-DEGRADATION	galactose_degradation_leloir
DBC-20260818-SUGAR-DEGRADATION	glcnac_degradation
DBC-20260818-SUGAR-DEGRADATION	neuac_degradation
DBC-20260818-SUGAR-DEGRADATION	galacturonate_degradation
DBC-20260818-SUGAR-DEGRADATION	glucuronate_degradation
DBC-20260818-GNE-EXCLUDED	neuac_degradation
DBC-20260818-GALM-OPTIONAL	galactose_degradation_leloir
DBC-20260818-PENTOSE-UPTAKE	xylose_uptake_abc
DBC-20260818-PENTOSE-UPTAKE	arabinose_uptake_abc
DBC-20260818-PENTOSE-UPTAKE	xylose_degradation_isomerase
DBC-20260818-PENTOSE-UPTAKE	arabinose_degradation
DBC-20260818-UPTAKE-LICENCE	fucose_degradation_isomerase
DBC-20260818-UPTAKE-LICENCE	neuac_degradation
DBC-20260818-PENTOSE-ANCHOR-IDENTITY	xylose_degradation_isomerase
DBC-20260818-PENTOSE-ANCHOR-IDENTITY	arabinose_degradation
DBC-20260818-SUBSTRATE-LEVEL-GIFTS	xylan_degradation
DBC-20260818-SUBSTRATE-LEVEL-GIFTS	arabinoxylan_debranching
DBC-20260818-SUBSTRATE-LEVEL-GIFTS	starch_degradation
DBC-20260818-POLYSACCHARIDE-TIERS	xylan_degradation
DBC-20260818-POLYSACCHARIDE-TIERS	arabinoxylan_debranching
DBC-20260818-POLYSACCHARIDE-TIERS	starch_degradation
DBC-20260818-CAZY-CONFIDENCE	xylan_degradation
DBC-20260818-CAZY-CONFIDENCE	arabinoxylan_debranching
DBC-20260818-CAZY-CONFIDENCE	starch_degradation
DBC-20260818-CAZY-ONE-SYSTEM	xylan_degradation
DBC-20260818-CAZY-ONE-SYSTEM	arabinoxylan_debranching
DBC-20260818-CAZY-ONE-SYSTEM	starch_degradation
DBC-20260818-EXO-ACTIVITY-CLAIM	xylan_degradation
DBC-20260818-EXO-ACTIVITY-CLAIM	starch_degradation
DBC-20260818-CAZY-SUBFAMILIES	xylan_degradation
DBC-20260818-CAZY-SUBFAMILIES	arabinoxylan_debranching
DBC-20260818-CAZY-SUBFAMILIES	starch_degradation
DBC-20260818-FACET-CLASSIFICATION	xylan_degradation
DBC-20260818-FACET-CLASSIFICATION	arabinoxylan_debranching
DBC-20260818-FACET-CLASSIFICATION	starch_degradation
DBC-20260818-COLLAGEN-CLEAVAGE	collagen_cleavage
DBC-20260818-EVIDENCE-SPECIFICITY	collagen_cleavage
