circuit_id	function_id	ordinal	required
CIRCUIT_CHEMOTAXIS_CORE	RF_CHEMOTAXIS_RECEPTION	1	1
CIRCUIT_CHEMOTAXIS_CORE	RF_CHEMOTAXIS_KINASE_CORE	2	1
CIRCUIT_CHEMOTAXIS_CORE	RF_CHEMOTAXIS_RESPONSE_REGULATOR	3	1
CIRCUIT_CHEMOTAXIS_CORE	RF_CHEMOTAXIS_ADAPTATION	4	1
CIRCUIT_CHEMOTAXIS_CORE	RF_CHEMOTAXIS_SIGNAL_TERMINATION	5	0
CIRCUIT_ASPARTATE_CHEMORECEPTION	RF_ASPARTATE_RECEPTION	1	1
CIRCUIT_ASPARTATE_CHEMORECEPTION	RF_CHEMOTAXIS_KINASE_CORE	2	1
CIRCUIT_ASPARTATE_CHEMORECEPTION	RF_CHEMOTAXIS_RESPONSE_REGULATOR	3	1
CIRCUIT_ASPARTATE_CHEMORECEPTION	RF_CHEMOTAXIS_ADAPTATION	4	1
CIRCUIT_PHO_PHOR_PHOB	RF_PHO_SIGNAL_RECEPTION	1	1
CIRCUIT_PHO_PHOR_PHOB	RF_PHO_RESPONSE_PHOB	2	1
CIRCUIT_PHO_PHOR_PHOB	RF_PHO_PHOSPHATE_STATUS	3	0
CIRCUIT_PHO_PHOR_PHOP	RF_PHO_SIGNAL_RECEPTION	1	1
CIRCUIT_PHO_PHOR_PHOP	RF_PHO_RESPONSE_PHOP	2	1
CIRCUIT_PHO_PHOR_PHOP	RF_PHO_PHOSPHATE_STATUS	3	0
